OBJECTID,BdVal,PctNum,BdName,ElectPct,Requests,Returns,PercentReturned,Party,ELECTNO_1,ELECTDATE,ELECTTTL,ELECTTL2,SHAPE__Area,SHAPE__Length
298,0485,485.0,MANISTEE,0485,612,250,0.408496,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4386771.93359375,10366.2874190861
299,0313,313.0,GILA,0313,1171,617,0.5269,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4963133.7265625,11217.4525904136
300,0469,469.0,LOS GATOS,0469,898,657,0.731625,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7520170.02734375,11746.5573562567
301,0746,746.0,SHADY GLEN,0746,559,299,0.534883,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3349302.984375,7341.03862729964
302,0311,311.0,GETTY,0311,601,307,0.510815,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,25372598.0703125,29174.126310193
303,0644,644.0,PINNACLE PEAK,0644,637,535,0.839874,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,109187964.742188,60872.84650126
304,0899,899.0,WESTWARD HO,0899,1995,1072,0.537343,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4195690.30078125,10075.2881495972
305,0429,429.0,LAKEVIEW,0429,327,272,0.831804,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2935639.734375,7884.46272145215
306,0344,344.0,GUERRERO,0344,1023,431,0.421309,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5501720.234375,11499.0413757703
307,0738,738.0,SCUDDER,0738,1279,874,0.683346,DEM,1389,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3837729.9375,8039.91183440149
